transcription_survey_name,chain_name,seed_id,message_id,text,n,order,is_english
hand picked 1 seeds,water,45,45,Buhlorghorgh,1,2,False
hand picked 1 seeds,water,45,45,Splash,1,3,True
hand picked 1 seeds,water,45,45,Wooshed,1,4,False
hand picked 1 seeds,water,45,45,atrishown,1,5,False
hand picked 1 seeds,water,45,45,balooshboosh,1,6,False
hand picked 1 seeds,water,45,45,blowosh,1,7,False
hand picked 1 seeds,water,45,45,fljushpah,1,8,False
hand picked 1 seeds,water,45,45,pkiluffa,1,9,False
hand picked 1 seeds,water,45,45,shirpahuhuh,1,10,False
hand picked 1 seeds,water,45,45,sloosh-splash,1,11,False
hand picked 1 seeds,water,45,45,sploosh,1,12,False
hand picked 1 seeds,water,45,45,splunge-plunge,1,13,False
hand picked 1 seeds,water,45,45,splush,1,14,False
hand picked 1 seeds,water,45,45,swash,1,15,True
hand picked 1 seeds,water,45,45,swoosh,1,16,True
hand picked 1 seeds,water,45,45,water,1,17,True
hand picked 1 seeds,water,45,45,water lapping on a shore,1,18,True
hand picked 1 seeds,water,45,45,wuuwaaa,1,19,False
hand picked 1 seeds,zipper,47,47,zip,3,1,True
hand picked 1 seeds,zipper,47,47,Zip,1,2,True
hand picked 1 seeds,zipper,47,47,Zipping,1,3,True
hand picked 1 seeds,zipper,47,47,breep,1,4,False
hand picked 1 seeds,zipper,47,47,brrip,1,5,False
hand picked 1 seeds,zipper,47,47,fizzim,1,6,False
hand picked 1 seeds,zipper,47,47,growwff,1,7,False
hand picked 1 seeds,zipper,47,47,grunt,1,8,True
hand picked 1 seeds,zipper,47,47,przzzzzt,1,9,False
hand picked 1 seeds,zipper,47,47,rip,1,10,True
hand picked 1 seeds,zipper,47,47,rrrzip,1,11,False
hand picked 1 seeds,zipper,47,47,vritt,1,12,False
hand picked 1 seeds,zipper,47,47,vrri,1,13,False
hand picked 1 seeds,zipper,47,47,whuup,1,14,False
hand picked 1 seeds,zipper,47,47,wreep,1,15,False
hand picked 1 seeds,zipper,47,47,zhrip,1,16,False
hand picked 1 seeds,zipper,47,47,zwip,1,17,False
hand picked 1 seeds,zipper,47,47,zzzip,1,18,False
hand picked 1 seeds,zipper,49,49,zip,2,1,True
hand picked 1 seeds,zipper,49,49,Burp,1,2,True
hand picked 1 seeds,zipper,49,49,Zip,1,3,True
hand picked 1 seeds,zipper,49,49,Zipper,1,4,True
hand picked 1 seeds,zipper,49,49,bahvup,1,5,False
hand picked 1 seeds,zipper,49,49,brip,1,6,False
hand picked 1 seeds,zipper,49,49,fft,1,7,False
hand picked 1 seeds,zipper,49,49,pfiph,1,8,False
hand picked 1 seeds,zipper,49,49,pzzzzzuit,1,9,False
hand picked 1 seeds,zipper,49,49,vritt,1,10,False
hand picked 1 seeds,zipper,49,49,vvvrrip,1,11,False
hand picked 1 seeds,zipper,49,49,wreep,1,12,False
hand picked 1 seeds,zipper,49,49,zhrup,1,13,False
hand picked 1 seeds,zipper,49,49,ziiip,1,14,False
hand picked 1 seeds,zipper,49,49,ziip,1,15,False
hand picked 1 seeds,zipper,49,49,zimp,1,16,False
hand picked 1 seeds,zipper,49,49,zipping,1,17,True
hand picked 1 seeds,zipper,49,49,zuhhip,1,18,False
hand picked 1 seeds,zipper,49,49,zup,1,19,False
hand picked 1 seeds,zipper,49,49,zzzzip,1,20,False
