chain_name,seed_id,message_id,transcription_survey_name,text,n,is_english
zipper,46,46,remaining-proximal-and-distal-1,zesh,1,0
zipper,46,46,remaining-proximal-and-distal-1,zeyow,1,0
zipper,46,46,remaining-proximal-and-distal-1,ziaaa,1,0
zipper,46,46,remaining-proximal-and-distal-1,zierp,1,0
zipper,46,46,remaining-proximal-and-distal-1,zimp,1,0
zipper,46,46,remaining-proximal-and-distal-1,zmmyup,1,0
zipper,46,46,remaining-proximal-and-distal-1,zoowhee,1,0
zipper,46,46,remaining-proximal-and-distal-1,zow,1,0
zipper,46,46,remaining-proximal-and-distal-1,zrewwew,1,0
zipper,46,46,remaining-proximal-and-distal-1,zveww,1,0
zipper,46,46,remaining-proximal-and-distal-1,zworp,1,0
zipper,46,46,remaining-proximal-and-distal-1,zzyzzil,1,0
zipper,46,46,remaining-proximal-and-distal-1,zzzip,1,0
zipper,46,46,remaining-proximal-and-distal-1,zzzzzzzzzzrrzzzzzzzzzzzp,1,0
zipper,46,55,first-gen-partial-1,chreeph,1,0
zipper,46,55,first-gen-partial-1,crowup,1,0
zipper,46,55,first-gen-partial-1,efof,1,0
zipper,46,55,first-gen-partial-1,errakspugh,1,0
zipper,46,55,first-gen-partial-1,floop,1,0
zipper,46,55,first-gen-partial-1,heewfhp,1,0
zipper,46,55,first-gen-partial-1,herrrrrphp,1,0
zipper,46,55,first-gen-partial-1,hueaupft,1,0
zipper,46,55,first-gen-partial-1,hurefuph,1,0
zipper,46,55,first-gen-partial-1,huweyooprr,1,0
zipper,46,55,first-gen-partial-1,kahreermph,1,0
zipper,46,55,first-gen-partial-1,kewipf,1,0
zipper,46,55,first-gen-partial-1,kiilllych,1,0
zipper,46,55,first-gen-partial-1,oiefu,1,0
zipper,46,55,first-gen-partial-1,oohryoop,1,0
zipper,46,55,first-gen-partial-1,qwewh,1,0
zipper,46,55,first-gen-partial-1,raarhoopf,1,0
zipper,46,55,first-gen-partial-1,reapufv,1,0
zipper,46,55,first-gen-partial-1,rearkpuft,1,0
zipper,46,55,first-gen-partial-1,rearpf,1,0
zipper,46,55,first-gen-partial-1,reawe-rfft,1,0
zipper,46,55,first-gen-partial-1,swooft,1,0
zipper,46,55,first-gen-partial-1,wahewshispt,1,0
zipper,46,55,first-gen-partial-1,wheeerk,1,0
zipper,46,55,first-gen-partial-1,whierpht,1,0
zipper,46,55,first-gen-partial-1,whirwirip,1,0
zipper,46,55,first-gen-partial-1,whoosh,1,1
zipper,46,55,first-gen-partial-1,windfarting,1,0
zipper,46,60,first-gen-partial-1,dsszzshd,1,0
zipper,46,60,first-gen-partial-1,dzesh,1,0
zipper,46,60,first-gen-partial-1,dzsht,1,0
zipper,46,60,first-gen-partial-1,eeee,1,0
zipper,46,60,first-gen-partial-1,eeeyeee,1,0
zipper,46,60,first-gen-partial-1,egh,1,0
zipper,46,60,first-gen-partial-1,ewuza,1,0
zipper,46,60,first-gen-partial-1,ewwie,1,0
zipper,46,60,first-gen-partial-1,eyusah,1,0
zipper,46,60,first-gen-partial-1,neeugh,1,0
zipper,46,60,first-gen-partial-1,nigh,1,1
zipper,46,60,first-gen-partial-1,szzzuzzz,1,0
zipper,46,60,first-gen-partial-1,viznp,1,0
zipper,46,60,first-gen-partial-1,vushp,1,0
zipper,46,60,first-gen-partial-1,wereshook,1,0
zipper,46,60,first-gen-partial-1,whooc,1,0
zipper,46,60,first-gen-partial-1,worr,1,0
zipper,46,60,first-gen-partial-1,wreep,1,0
zipper,46,60,first-gen-partial-1,wujz,1,0
zipper,46,60,first-gen-partial-1,yeweeh,1,0
zipper,46,60,first-gen-partial-1,zezush,1,0
zipper,46,60,first-gen-partial-1,zhzhh,1,0
zipper,46,60,first-gen-partial-1,zizr,1,0
zipper,46,60,first-gen-partial-1,zshush,1,0
zipper,46,60,first-gen-partial-1,zuizz,1,0
zipper,46,60,first-gen-partial-1,zuzzz,1,0
zipper,46,60,first-gen-partial-1,zzript,1,0
zipper,46,60,first-gen-partial-1,zzuu,1,0
zipper,46,60,first-gen-partial-1,zzuzz,1,0
zipper,46,60,first-gen-partial-1,zzzrrsh,1,0
zipper,46,90,first-gen-partial-1,apeing,1,0
zipper,46,90,first-gen-partial-1,auuhaa,1,0
zipper,46,90,first-gen-partial-1,euah,1,0
zipper,46,90,first-gen-partial-1,euuh,1,0
zipper,46,90,first-gen-partial-1,hueh,1,0
zipper,46,90,first-gen-partial-1,huurh,1,0
zipper,46,90,first-gen-partial-1,marph,1,0
zipper,46,90,first-gen-partial-1,meh,1,0
zipper,46,90,first-gen-partial-1,mmm,1,0
